AgeGroup,RestType,,,,,Legend,
1,R,,,,,,
1,R,,,,,Age Group,
1,R,,,,,1,Infant (0-1)
1,R,,,,,2,Toddler (1-4)
1,R,,,,,3,School (4-9)
1,R,,,,,4,Older (>9)
1,R,,,,,,
1,R,,,,,Restraint Type,
1,R,,,,,R,Rear-facing
1,R,,,,,F,Forward-facing
1,R,,,,,B,Booster seat
1,R,,,,,S,Seat belt
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
1,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
2,R,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
1,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
2,F,,,,,,
